apn,shape_area,category,year_built,class,county,unknown,place_name
"020902220",57700,Existing,2000,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"020903226",158500,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020903221",100800,Existing,1980,storage warehouse,San Bernardino County,"1",Rancho Cucamonga
"020917163",359200,Existing,2006,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"020920119",291700,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020941118",264600,Existing,1986,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"020926109",179800,Existing,2003,storage warehouse,San Bernardino County,"0",Rancho Cucamonga
"020926132",200900,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020941134",393800,Existing,1982,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020914520",196900,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020901385",797900,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020926216",273600,Existing,1985,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
"020926213",256800,Existing,1980,light industrial,San Bernardino County,"0",Rancho Cucamonga
"020927225",724400,Existing,2005,flex,San Bernardino County,"0",Rancho Cucamonga
"020926215",350400,Existing,1984,flex,San Bernardino County,"0",Rancho Cucamonga
"020914522",185900,Existing,2008,distribution warehouse,San Bernardino County,"0",Rancho Cucamonga
